epoch,loss,accuracy
1,0.011543033644557,92.93333333333334
2,0.019472390413284302,95.06666666666666
3,0.0032089666929095984,95.73333333333333
4,0.003886647056788206,95.33333333333333
5,0.0030260744970291853,95.46666666666667
6,0.0005896736984141171,96.4
7,0.0006590101984329522,96.4
8,0.00023862851958256215,96.0
9,0.0002646096108946949,96.26666666666667
10,5.2927523938706145e-05,95.73333333333333
11,0.00036638224264606833,96.0
12,0.00038223114097490907,96.26666666666667
13,5.721882189391181e-05,96.4
14,0.00011276562872808427,96.0
15,7.581423415103927e-05,95.73333333333333
16,5.9602869441732764e-05,96.13333333333334
17,2.9205850296420977e-05,95.33333333333333
18,0.00016699827392585576,96.0
19,4.577531944960356e-05,96.0
20,1.8596476365928538e-05,94.93333333333334
21,6.294052582234144e-05,95.73333333333333
22,3.266281055402942e-05,95.46666666666667
23,4.649054244509898e-05,95.06666666666666
24,4.207999518257566e-05,95.06666666666666
25,1.728519782773219e-05,96.0
26,1.764281842042692e-05,95.33333333333333
27,8.34461570775602e-06,95.46666666666667
28,4.8636207793606445e-05,95.33333333333333
29,2.3841830625315197e-06,95.6
30,7.033323527139146e-06,95.6
