epoch,step,loss
23,600,0.024426054931644004
23,900,0.019324180539680876
23,1200,0.02930163569724769
23,1500,0.0031890394319313725
23,1800,0.02133523114907741
23,2100,0.008420079881410298
24,300,0.01371779945426835
24,600,0.027095770590255554
24,900,0.021522943098286902
24,1200,0.01630384826941447
24,1500,0.0010224970330813222
24,1800,0.01160681548581311
24,2100,0.016832268158967142
25,300,0.014266375537499746
25,600,0.013083023103336871
25,900,0.0176266176877742
25,1200,0.007925028715191663
25,1500,0.0009713382790967274
25,1800,0.016149214834783574
25,2100,0.013904882767824324
26,300,0.007441417340708417
26,600,0.012795857754030067
26,900,0.01819352353303799
26,1200,0.01319039671750744
26,1500,0.0013259504248340193
26,1800,0.034652934137760216
26,2100,0.012422758213310297
27,300,0.005711366743074417
27,600,0.012384340731354939
27,900,0.017503112184793633
27,1200,0.007687366070537654
27,1500,0.000805972591926647
27,1800,0.0032545727102697933
27,2100,0.011863912373699274
28,300,0.0020451981391825078
28,600,0.009816149616374356
28,900,0.013722533379556244
28,1200,0.005798692252814206
28,1500,0.00841621155775852
28,1800,0.1025509969066399
28,2100,0.01518222746092808
29,300,0.004813297346281473
29,600,0.022895851664541358
29,900,0.019713370952268695
29,1200,0.009650594239157045
29,1500,0.0021738789489947883
29,1800,0.007776517969026647
29,2100,0.01104552508837474
30,300,0.006848195969790348
30,600,0.006568988634058262
30,900,0.013872008448322362
30,1200,0.012631840000609221
30,1500,0.001609826799032561
30,1800,0.006022418394854133
30,2100,0.011814146634967552
